player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Stevie May,33,Scotland,Livingston FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/s_111432_2578_2014_04_08_1.jpg?lm=1
Scott Pittman,33,Scotland,Livingston FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/182614-1624630710.jpg?lm=1
Scott Pittman,30,Scotland,Livingston FC,2018,2023,166,Premiership,https://img.a.transfermarkt.technology/portrait/medium/182614-1624630710.jpg?lm=1
James Tavernier,34,England,Rangers,2016,2025,291,Premiership,https://img.a.transfermarkt.technology/portrait/medium/62094-1663162918.jpg?lm=1
Jeremy Bokila,36,DR Congo,Livingston FC,2025,2025,11,Premiership,https://img.a.transfermarkt.technology/portrait/medium/56490-1718023355.jpg?lm=1
Cameron Congreve,21,Wales,Dundee FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/667506-1713431445.jpg?lm=1
Topi Keskinen,22,Finland,Aberdeen FC,2024,2025,41,Premiership,https://img.a.transfermarkt.technology/portrait/medium/646189-1750348347.jpg?lm=1
Amar Fatah,21,Sweden,Dundee United,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/931841-1713870119.png?lm=1
Tony Yogane,20,England,Dundee FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/979064-1746643555.jpg?lm=1
Joe Westley,21,England,Dundee FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/937845-1748074174.jpg?lm=1
Arne Engels,22,Belgium,Celtic,2024,2025,40,Premiership,https://img.a.transfermarkt.technology/portrait/medium/565435-1722850116.jpg?lm=1
Jack Milne,22,Scotland,Aberdeen FC,2022,2025,24,Premiership,https://img.a.transfermarkt.technology/portrait/medium/808452-1697116246.jpg?lm=1
Miguel Freckleton,22,England,St. Mirren,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/1085296-1757499423.jpg?lm=1
Adil Aouchiche,23,France,Aberdeen FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/569385-1734457770.jpg?lm=1
Alexander Jensen,24,Denmark,Aberdeen FC,2024,2025,21,Premiership,https://img.a.transfermarkt.technology/portrait/medium/503865-1724965369.jpg?lm=1
Callum Jones,24,Wales,Dundee FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/603937-1757538974.jpg?lm=1
Tete Yengi,24,Australia,Livingston FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/849429-1679748820.jpg?lm=1
Tete Yengi,22,Australia,Livingston FC,2023,2023,12,Premiership,https://img.a.transfermarkt.technology/portrait/medium/849429-1679748820.jpg?lm=1
Michael Steinwender,25,Austria,Heart of Midl.,2024,2025,19,Premiership,https://img.a.transfermarkt.technology/portrait/medium/375434-1692987593.png?lm=1
George Stanger,25,New Zealand,Kilmarnock FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/509709-1558942459.png?lm=1
Ivan Dolcek,25,Croatia,Dundee United,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/554565-1694540127.jpg?lm=1
Mats Knoester,26,Netherlands,Aberdeen FC,2024,2025,18,Premiership,https://img.a.transfermarkt.technology/portrait/medium/315138-1567761193.jpg?lm=1
Ross MacIver,26,Scotland,Falkirk,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/401046-1757499147.jpg?lm=1
John Koutroumbis,27,Australia,Motherwell FC,2024,2025,15,Premiership,https://img.a.transfermarkt.technology/portrait/medium/456583-1757463322.jpg?lm=1
Greg Kiltie,28,Scotland,Kilmarnock FC,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/244256-1624880237.jpg?lm=1
Greg Kiltie,23,Scotland,Kilmarnock FC,2012,2020,102,Premiership,https://img.a.transfermarkt.technology/portrait/medium/244256-1624880237.jpg?lm=1
Brad Lyons,28,Northern Ireland,Kilmarnock FC,2022,2025,76,Premiership,https://img.a.transfermarkt.technology/portrait/medium/334816-1757410713.jpg?lm=1
Liam Polworth,31,Scotland,Kilmarnock FC,2022,2025,79,Premiership,https://img.a.transfermarkt.technology/portrait/medium/132209-1612223707.jpg?lm=1
Stephen O'Donnell,33,Scotland,Motherwell FC,2020,2025,143,Premiership,https://img.a.transfermarkt.technology/portrait/medium/186337-1669031807.jpg?lm=1
James Forrest,34,Scotland,Celtic,2009,2025,320,Premiership,https://img.a.transfermarkt.technology/portrait/medium/84992-1701211739.jpg?lm=1
Brian Graham,37,Scotland,Falkirk,2025,2025,10,Premiership,https://img.a.transfermarkt.technology/portrait/medium/36709-1743657005.jpg?lm=1
Thelo Aasgaard,23,Norway,Rangers,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/647384-1645614893.png?lm=1
Richard King,23,Jamaica,St. Mirren,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/909017-1718387733.jpg?lm=1
Jordan Obita,31,Uganda,Hibernian FC,2023,2025,68,Premiership,https://img.a.transfermarkt.technology/portrait/medium/s_158816_36123_2013_09_24_1.jpg?lm=1
Dario Naamo,20,Finland,Dundee United,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/741580-1725701506.jpg?lm=1
Nicolas Raskin,24,Belgium,Rangers,2022,2025,58,Premiership,https://img.a.transfermarkt.technology/portrait/medium/422763-1616873075.jpg?lm=1
Mikey Moore,18,England,Rangers,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/1011147-1716493553.jpg?lm=1
Daizen Maeda,28,Japan,Celtic,2021,2025,106,Premiership,https://img.a.transfermarkt.technology/portrait/medium/420931-1669207346.jpg?lm=1
Grant Hanley,33,Scotland,Hibernian FC,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/121385-1718273884.jpg?lm=1
Junior Hoilett,35,Canada,Hibernian FC,2024,2025,32,Premiership,https://img.a.transfermarkt.technology/portrait/medium/58993-1554051302.jpg?lm=1
Macaulay Tait,20,Scotland,Livingston FC,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/909254-1731011330.jpg?lm=1
Rocky Bushiri,25,DR Congo,Hibernian FC,2021,2025,80,Premiership,https://img.a.transfermarkt.technology/portrait/medium/511802-1500892061.jpg?lm=1
Ethan Williams,19,England,Falkirk,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/935082-1757499785.jpg?lm=1
Finlay Robertson,22,Scotland,Dundee FC,2023,2025,45,Premiership,https://img.a.transfermarkt.technology/portrait/medium/396540-1626167953.jpg?lm=1
Finlay Robertson,18,Scotland,Dundee FC,2021,2021,2,Premiership,https://img.a.transfermarkt.technology/portrait/medium/396540-1626167953.jpg?lm=1
Luca Stephenson,22,England,Dundee United,2024,2025,40,Premiership,https://img.a.transfermarkt.technology/portrait/medium/734424-1757443316.jpg?lm=1
Ashley Hay,22,England,Dundee FC,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/1298557-1757539082.jpg?lm=1
Andy Winter,23,Scotland,Livingston FC,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/567115-1757538600.jpg?lm=1
Connor Barron,23,Scotland,Rangers,2024,2025,32,Premiership,https://img.a.transfermarkt.technology/portrait/medium/567151-1744313979.jpg?lm=1
Tómas Bent Magnússon,23,Iceland,Heart of Midl.,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/599628-1755309882.jpg?lm=1
Iurie Iovu,23,Moldova,Dundee United,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/619353-1732989962.jpg?lm=1
Lewis Mayo,25,Scotland,Kilmarnock FC,2022,2025,103,Premiership,https://img.a.transfermarkt.technology/portrait/medium/403569-1757465269.jpg?lm=1
Jayden Richardson,25,England,St. Mirren,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/565675-1656922915.jpg?lm=1
Dante Polvara,25,United States,Aberdeen FC,2021,2025,45,Premiership,https://img.a.transfermarkt.technology/portrait/medium/971613-1678776712.jpg?lm=1
Ethan Hamilton,27,Scotland,Dundee FC,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/396286-1748077012.jpg?lm=1
Beni Baningime,27,DR Congo,Heart of Midl.,2023,2025,57,Premiership,https://img.a.transfermarkt.technology/portrait/medium/399369-1731011957.jpg?lm=1
Beni Baningime,22,DR Congo,Heart of Midl.,2021,2021,24,Premiership,https://img.a.transfermarkt.technology/portrait/medium/399369-1731011957.jpg?lm=1
Keanu Baccus,27,Australia,St. Mirren,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/479037-1625838666.jpg?lm=1
Keanu Baccus,25,Australia,St. Mirren,2022,2023,54,Premiership,https://img.a.transfermarkt.technology/portrait/medium/479037-1625838666.jpg?lm=1
Reo Hatate,27,Japan,Celtic,2021,2025,93,Premiership,https://img.a.transfermarkt.technology/portrait/medium/496656-1671709618.jpg?lm=1
Dan Barlaser,28,England,Hibernian FC,2025,2025,9,Premiership,https://img.a.transfermarkt.technology/portrait/medium/256773-1649405467.jpg?lm=1
Craig Sibbald,30,Scotland,Dundee United,2024,2025,22,Premiership,https://img.a.transfermarkt.technology/portrait/medium/165345-1624630725.jpg?lm=1
Craig Sibbald,27,Scotland,Dundee United,2022,2022,30,Premiership,https://img.a.transfermarkt.technology/portrait/medium/165345-1624630725.jpg?lm=1
Marcus Fraser,31,Scotland,St. Mirren,2020,2025,168,Premiership,https://img.a.transfermarkt.technology/portrait/medium/132203-1625663545.jpg?lm=1
Stephen Kingsley,31,Scotland,Heart of Midl.,2021,2025,95,Premiership,https://img.a.transfermarkt.technology/portrait/medium/184398-1731011922.jpg?lm=1
Alex Gogic,31,Cyprus,St. Mirren,2022,2025,99,Premiership,https://img.a.transfermarkt.technology/portrait/medium/225393-1624008149.jpg?lm=1
