player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Dinis Pinto,25,Portugal,Moreirense,2023,2025,51,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/663254-1705663219.png?lm=1
Leonardo Lelo,25,Portugal,Braga,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/669956-1663603059.png?lm=1
Serginho,25,Portugal,Santa Clara,2024,2025,40,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Serginho,35,Portugal,Santa Clara,2018,2018,7,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/40555-1537526392.png?lm=1
Lazar Carević,26,Montenegro,Famalicão,2024,2025,29,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/344457-1729964020.jpg?lm=1
Léo Santos,26,Brazil,Nacional,2024,2025,27,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/351894-1539349850.jpg?lm=1
Jordan Holsgrove,26,Scotland,Estoril,2023,2025,54,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/429309-1571162556.jpg?lm=1
Maranhão,26,Brazil,Tondela,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/642591-1737737080.jpg?lm=1
Adriano Firmino,26,Brazil,Santa Clara,2024,2025,43,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/687743-1606988674.jpg?lm=1
Adriano Firmino,22,Brazil,Santa Clara,2022,2022,31,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/687743-1606988674.jpg?lm=1
Vinícius Lopes,26,Brazil,Santa Clara,2024,2025,44,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/688881-1636982998.jpg?lm=1
Clayton,26,Brazil,Rio Ave,2024,2025,42,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/733579-1737125523.jpg?lm=1
Alfonso Trezza,26,Uruguay,Arouca,2023,2025,68,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/741517-1669398553.jpg?lm=1
Simon Elisor,26,France,Famalicão,2024,2025,26,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/804661-1697466072.png?lm=1
Jérémy Livolant,27,France,Casa Pia,2024,2025,37,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/324806-1656331238.png?lm=1
Pedro Ferreira,27,Portugal,Santa Clara,2024,2025,43,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/337799-1409755092.jpg?lm=1
Marios Vrousai,27,Greece,Rio Ave,2023,2025,56,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/395632-1737120039.jpg?lm=1
Liziero,27,Brazil,Nacional,2025,2025,11,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/401526-1531496363.jpg?lm=1
Gabriel Batista,27,Brazil,Santa Clara,2024,2025,45,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/401535-1543846106.jpg?lm=1
Gabriel Batista,24,Brazil,Santa Clara,2022,2022,26,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/401535-1543846106.jpg?lm=1
