player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Mikey Moore,18.0,England,Rangers,2025,2025,8,Premiership
Daizen Maeda,28.0,Japan,Celtic,2021,2025,105,Premiership
Grant Hanley,33.0,Scotland,Hibernian FC,2025,2025,8,Premiership
Junior Hoilett,35.0,Canada,Hibernian FC,2024,2025,31,Premiership
Rocky Bushiri,25.0,DR Congo,Hibernian FC,2021,2025,79,Premiership
Ethan Williams,19.0,England,Falkirk,2025,2025,8,Premiership
Luca Stephenson,22.0,England,Dundee United,2024,2025,39,Premiership
Andy Winter,23.0,Scotland,Livingston FC,2025,2025,8,Premiership
Connor Barron,23.0,Scotland,Rangers,2024,2025,31,Premiership
Tómas Bent Magnússon,23.0,Iceland,Heart of Midl.,2025,2025,8,Premiership
Nikolaj Möller,23.0,Sweden,Dundee United,2025,2025,8,Premiership
Iurie Iovu,23.0,Moldova,Dundee United,2025,2025,8,Premiership
Adam Montgomery,23.0,Scotland,Livingston FC,2025,2025,8,Premiership
Will Ferry,24.0,Ireland,Dundee United,2024,2025,38,Premiership
Jayden Richardson,25.0,England,St. Mirren,2025,2025,8,Premiership
Dante Polvara,25.0,United States,Aberdeen FC,2021,2025,44,Premiership
Warren O'Hora,26.0,Ireland,Hibernian FC,2024,2025,35,Premiership
Ethan Hamilton,27.0,Scotland,Dundee FC,2025,2025,8,Premiership
Keanu Baccus,27.0,Australia,St. Mirren,2025,2025,8,Premiership
Keanu Baccus,25.0,Australia,St. Mirren,2022,2023,54,Premiership
Reo Hatate,27.0,Japan,Celtic,2021,2025,92,Premiership
Dan Barlaser,28.0,England,Hibernian FC,2025,2025,8,Premiership
Mark O'Hara,29.0,Scotland,St. Mirren,2022,2025,89,Premiership
Joe Rothwell,30.0,England,Rangers,2025,2025,8,Premiership
Marcus Fraser,31.0,Scotland,St. Mirren,2020,2025,167,Premiership
Stephen Kingsley,31.0,Scotland,Heart of Midl.,2021,2025,94,Premiership
Nicky Devlin,32.0,Scotland,Aberdeen FC,2023,2025,68,Premiership
Rory McKenzie,32.0,Scotland,Kilmarnock FC,2022,2025,78,Premiership
Rory McKenzie,26.0,Scotland,Kilmarnock FC,2012,2020,235,Premiership
Rory McKenzie,16.0,Scotland,Kilmarnock FC,2010,2010,1,Premiership
Simon Murray,33.0,Scotland,Dundee FC,2024,2025,41,Premiership
Simon Murray,25.0,Scotland,Dundee FC,2017,2017,31,Premiership
Graeme Shinnie,34.0,Scotland,Aberdeen FC,2022,2025,83,Premiership
Graeme Shinnie,26.0,Scotland,Aberdeen FC,2015,2018,136,Premiership
Paul McGinn,35.0,Scotland,Motherwell FC,2022,2025,75,Premiership
Oliver Antman,24.0,Finland,Rangers,2025,2025,7,Premiership
Bojan Miovski,26.0,North Macedonia,Rangers,2025,2025,7,Premiership
Elijah Just,25.0,New Zealand,Motherwell FC,2025,2025,7,Premiership
Anthony Ralston,26.0,Scotland,Celtic,2015,2025,100,Premiership
Kieran Tierney,28.0,Scotland,Celtic,2025,2025,7,Premiership
Kieran Tierney,21.0,Scotland,Celtic,2014,2018,97,Premiership
Jayden Meghoma,19.0,England,Rangers,2025,2025,7,Premiership
Marko Lazetić,21.0,Serbia,Aberdeen FC,2025,2025,7,Premiership
Miguel Chaiwa,21.0,Zambia,Hibernian FC,2025,2025,7,Premiership
Djenairo Daniels,23.0,Suriname,Kilmarnock FC,2025,2025,7,Premiership
Mahamadou Susoho,20.0,Spain,Livingston FC,2025,2025,7,Premiership
Lewis Neilson,22.0,Scotland,Falkirk,2025,2025,7,Premiership
Dylan Levitt,24.0,Wales,Hibernian FC,2023,2025,46,Premiership
Michel-Ange Balikwisha,24.0,DR Congo,Celtic,2025,2025,7,Premiership
Mohamed Diomandé,24.0,Cote d'Ivoire,Rangers,2023,2025,46,Premiership
Leon McCann,25.0,Scotland,Falkirk,2025,2025,7,Premiership
Emile Acquah,25.0,England,Dundee FC,2025,2025,7,Premiership
Connor McLennan,26.0,Scotland,Livingston FC,2025,2025,7,Premiership
Julius Eskesen,26.0,Denmark,Dundee United,2025,2025,7,Premiership
Cameron Carter-Vickers,27.0,United States,Celtic,2021,2025,112,Premiership
Jesper Karlsson,27.0,Sweden,Aberdeen FC,2025,2025,7,Premiership
Elton Kabangu,27.0,Belgium,Heart of Midl.,2024,2025,18,Premiership
Kevin Nisbet,28.0,Scotland,Aberdeen FC,2024,2025,34,Premiership
Regan Charles-Cook,28.0,Grenada,Motherwell FC,2025,2025,7,Premiership
Robbie Muirhead,29.0,Scotland,Livingston FC,2025,2025,7,Premiership
Raphael Sallinger,29.0,Austria,Hibernian FC,2025,2025,7,Premiership
Liam Gordon,29.0,Scotland,Motherwell FC,2024,2025,34,Premiership
Maksymilian Stryjek,29.0,Poland,Kilmarnock FC,2025,2025,7,Premiership
Blair Spittal,29.0,Scotland,Heart of Midl.,2024,2025,40,Premiership
Nicky Cadden,29.0,Scotland,Hibernian FC,2024,2025,31,Premiership
Alexander Schwolow,33.0,Germany,Heart of Midl.,2025,2025,7,Premiership
Derek Cornelius,27.0,Canada,Rangers,2025,2025,6,Premiership
Youssef Chermiti,21.0,Portugal,Rangers,2025,2025,6,Premiership
Sebastian Tounekti,23.0,Tunisia,Celtic,2025,2025,6,Premiership
Nicolas Milanovic,23.0,Australia,Aberdeen FC,2025,2025,6,Premiership
Trey Samuel-Ogunsuyi,18.0,Belgium,Falkirk,2025,2025,6,Premiership
Alfie Dorrington,20.0,England,Aberdeen FC,2024,2025,15,Premiership
Nasser Djiga,22.0,Burkina Faso,Rangers,2025,2025,6,Premiership
Johnny Kenny,22.0,Ireland,Celtic,2024,2025,10,Premiership
Roland Idowu,23.0,Ireland,St. Mirren,2024,2025,32,Premiership
Leighton Clarkson,24.0,England,Aberdeen FC,2022,2025,95,Premiership
Max Aarons,25.0,England,Rangers,2025,2025,6,Premiership
Dan Nlundulu,26.0,England,St. Mirren,2025,2025,6,Premiership
James Brown,27.0,Ireland,Kilmarnock FC,2025,2025,6,Premiership
Alan Forrest,29.0,Scotland,Heart of Midl.,2022,2025,93,Premiership
Paul Digby,30.0,England,Dundee FC,2025,2025,6,Premiership
Conor McMenamin,30.0,Northern Ireland,St. Mirren,2023,2025,37,Premiership
Stuart Armstrong,33.0,Scotland,Aberdeen FC,2025,2025,6,Premiership
