player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
José Carlos Lazo,29,Spain,Albacete,2024,2025,32,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/282410-1727174572.jpg?lm=1
Sergio Molina,29,Spain,FC Andorra,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Sergio Molina,27,Spain,FC Andorra,2022,2023,69,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Jokin Ezkieta,29,Spain,Racing,2022,2025,103,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/379548-1605894574.jpg?lm=1
Diego Villares,29,Spain,Dep. La Coruña,2024,2025,53,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/590687-1702404812.jpg?lm=1
Alfonso Herrero,31,Spain,Málaga CF,2024,2025,54,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/129478-1725618323.jpg?lm=1
Gonzalo Melero,31,Spain,CD Leganés,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/162056-1732735437.jpg?lm=1
Agus Medina,31,Spain,Albacete,2023,2025,88,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/336051-1745337751.jpg?lm=1
Pablo Vázquez,31,Spain,Sporting Gijón,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/446516-1760543670.jpg?lm=1
Germán Parreño,32,Spain,Dep. La Coruña,2024,2025,18,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/126746-1447228190.jpg?lm=1
Rubén Yáñez,32,Spain,Sporting Gijón,2023,2025,90,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/246335-1760543090.jpg?lm=1
Edgar Badia,33,Spain,CyD Leonesa,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/102146-1704727336.jpg?lm=1
Fran Gámez,34,Spain,Albacete,2025,2025,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/442816-1583331930.jpg?lm=1
Dani Jiménez,35,Spain,SD Huesca,2024,2025,45,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/126509-1724337115.jpg?lm=1
Stoichkov,32,Spain,Granada CF,2024,2025,27,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/271021-1572959967.jpg?lm=1
Arkaitz Mariezkurrena,20,Spain,Real Sociedad B,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/962145-1732795549.png?lm=1
Iker Córdoba,19,Spain,CD Mirandés,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Gonzalo Petit,19,Uruguay,CD Mirandés,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/997814-1719947885.png?lm=1
Lander Astiazaran,19,Spain,Real Sociedad B,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Lorenzo Amatucci,21,Italy,UD Las Palmas,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/707450-1751270499.jpg?lm=1
Aleix Garrido,21,Spain,SD Eibar,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/709966-1680266558.jpg?lm=1
