team_name,logo_url
Braga,https://tmssl.akamaized.net//images/wappen/small/1075.png?lm=1432893871
Brentford,https://tmssl.akamaized.net//images/wappen/small/1148.png?lm=1625150543
Brescia,https://tmssl.akamaized.net//images/wappen/small/19.png?lm=1511961167
Brest Armorique,https://tmssl.akamaized.net//images/wappen/small/3911_1485792817.png?lm=1485792817
Brighton,https://tmssl.akamaized.net//images/wappen/small/1237.png?lm=1492718902
Bristol City,https://tmssl.akamaized.net//images/wappen/small/698.png?lm=1571314125
Bucaspor,https://tmssl.akamaized.net//images/wappen/small/2750_1628995477.png?lm=1628995478
Burgos CF,https://tmssl.akamaized.net//images/wappen/small/1536.png?lm=1695651736
Burnley,https://tmssl.akamaized.net//images/wappen/small/1132.png?lm=1686818840
Bursaspor,https://tmssl.akamaized.net//images/wappen/small/20.png?lm=1441719256
Burton Albion,https://tmssl.akamaized.net//images/wappen/small/2963_1756884043.png?lm=1756884044
Büyüksehir Bld,https://tmssl.akamaized.net//images/wappen/small/6890_1444099136.png?lm=1444099136
C. Dardanelspor,https://tmssl.akamaized.net//images/wappen/small/1507.png?lm=1635862083
C. Rizespor,https://tmssl.akamaized.net//images/wappen/small/126.png?lm=1753432348
CA Bastia,https://tmssl.akamaized.net//images/wappen/small/28559.png?lm=1485455598
CA Osasuna,https://tmssl.akamaized.net//images/wappen/small/331.png?lm=1686070937
CD Alcoyano,https://tmssl.akamaized.net//images/wappen/small/11259.png?lm=1611225345
CD Badajoz,https://tmssl.akamaized.net//images/wappen/small/2923_1468173734.png?lm=1468173734
CD Guadalajara,https://tmssl.akamaized.net//images/wappen/small/16576.png?lm=1754924420
CD Leganés,https://tmssl.akamaized.net//images/wappen/small/1244.png?lm=1422972468
CD Logroñés,https://tmssl.akamaized.net//images/wappen/small/236.png?lm=1566636414
CD Lugo,https://tmssl.akamaized.net//images/wappen/small/11000.png?lm=1405933427
CD Mirandés,https://tmssl.akamaized.net//images/wappen/small/13222.png?lm=1407484616
CD Málaga,https://tmssl.akamaized.net//images/wappen/small/1084_1474533884.png?lm=1474533884
CD Numancia,https://tmssl.akamaized.net//images/wappen/small/2296.png?lm=1438505132
CD Orense,https://tmssl.akamaized.net//images/wappen/small/2725.png?lm=1472936938
CD Ourense,https://tmssl.akamaized.net//images/wappen/small/2725.png?lm=1472936938
CD Tenerife,https://tmssl.akamaized.net//images/wappen/small/648.png?lm=1578091884
CD Toledo,https://tmssl.akamaized.net//images/wappen/small/2929.png?lm=1649076056
CE Sabadell,https://tmssl.akamaized.net//images/wappen/small/11422_1642225037.png?lm=1642225037
CF Estrela,https://tmssl.akamaized.net//images/wappen/small/2431_1642764876.png?lm=1642764876
CF Fuenlabrada,https://tmssl.akamaized.net//images/wappen/small/16486.png?lm=1620472325
CP Mérida,https://tmssl.akamaized.net//images/wappen/small/38011.png?lm=1438119458
CS Sedan,https://tmssl.akamaized.net//images/wappen/small/1081_1594917323.png?lm=1594917274
Cagliari,https://tmssl.akamaized.net//images/wappen/small/1390.png?lm=1626441409
Calcio Monza,https://tmssl.akamaized.net//images/wappen/small/2919_1435859774.png?lm=1435859774
Cambuur L.,https://tmssl.akamaized.net//images/wappen/small/133_1400701511.png?lm=1400701509
Campomaiorense,https://tmssl.akamaized.net//images/wappen/small/59.png?lm=1721511988
Cannes,https://tmssl.akamaized.net//images/wappen/small/895_1675856504.png?lm=1675856505
Cardiff,https://tmssl.akamaized.net//images/wappen/small/603.png?lm=1478337063
Carl Zeiss Jena,https://tmssl.akamaized.net//images/wappen/small/113.png?lm=1402955896
Carpi,https://tmssl.akamaized.net//images/wappen/small/4102_1631169567.png?lm=1631169567
Carrarese,https://tmssl.akamaized.net//images/wappen/small/4159.png?lm=1719392824
Casa Pia,https://tmssl.akamaized.net//images/wappen/small/3268.png?lm=1742856850
Casertana,https://tmssl.akamaized.net//images/wappen/small/4106.png?lm=1634907069
Castel di Sangr,https://tmssl.akamaized.net//images/wappen/small/3512_1708356836.png?lm=1708356841
Castellón,https://tmssl.akamaized.net//images/wappen/small/2502.png?lm=1648726491
Catania,https://tmssl.akamaized.net//images/wappen/small/1627_1659474697.png?lm=1659474697
Catanzaro,https://tmssl.akamaized.net//images/wappen/small/4097.png?lm=1567460762
Celta de Vigo,https://tmssl.akamaized.net//images/wappen/small/940.png?lm=1406966406
Celtic,https://tmssl.akamaized.net//images/wappen/small/371.png?lm=1758007391
Cercle Brugge,https://tmssl.akamaized.net//images/wappen/small/520.png?lm=1713864588
Cercle Dijon,https://tmssl.akamaized.net//images/wappen/small/30607_1485794268.png?lm=1485794268
Cesena,https://tmssl.akamaized.net//images/wappen/small/1429_1570605807.png?lm=1570605808
Chamois Niort,https://tmssl.akamaized.net//images/wappen/small/1161_1751893039.png?lm=1751893040
Charlton,https://tmssl.akamaized.net//images/wappen/small/358.png?lm=1448178743
Chaves,https://tmssl.akamaized.net//images/wappen/small/3325.png?lm=1416392512
Chelsea,https://tmssl.akamaized.net//images/wappen/small/631.png?lm=1682435911
Chemnitzer FC,https://tmssl.akamaized.net//images/wappen/small/21.png?lm=1403259677
Chievo Verona,https://tmssl.akamaized.net//images/wappen/small/862.png?lm=1730983190
Cittadella,https://tmssl.akamaized.net//images/wappen/small/4084.png?lm=1691049164
Ciudad Murcia,https://tmssl.akamaized.net//images/wappen/small/4053.png?lm=1457444393
Clermont FA,https://tmssl.akamaized.net//images/wappen/small/3524_1604224593.png?lm=1604224593
